9.8696 0
9.7696 0.000899393
9.6696 0.00185064
9.5696 0.00285482
9.4696 0.00391303
9.3696 0.00502641
9.2696 0.00619615
9.1696 0.00742346
9.0696 0.00870959
8.9696 0.0100558
8.8696 0.0114636
8.7696 0.0129341
8.6696 0.014469
8.5696 0.0160696
8.4696 0.0177375
8.3696 0.0194743
8.2696 0.0212816
8.1696 0.0231612
8.0696 0.0251148
7.9696 0.0271442
7.8696 0.0292514
7.7696 0.0314382
7.6696 0.0337069
7.5696 0.0360595
7.4696 0.0384982
7.3696 0.0410253
7.2696 0.0436433
7.1696 0.0463546
7.0696 0.0491618
6.9696 0.0520676
6.8696 0.055075
6.7696 0.0581868
6.6696 0.061406
6.5696 0.0647361
6.4696 0.0681802
6.3696 0.071742
6.2696 0.0754251
6.1696 0.0792334
6.0696 0.083171
5.9696 0.0872421
5.8696 0.0914512
5.7696 0.095803
5.6696 0.100302
5.5696 0.104955
5.4696 0.109765
5.3696 0.11474
5.2696 0.119885
5.1696 0.125207
5.0696 0.130712
4.9696 0.136408
4.8696 0.142303
4.7696 0.148404
4.6696 0.15472
4.5696 0.161261
4.4696 0.168036
4.3696 0.175056
4.2696 0.182332
4.1696 0.189876
4.0696 0.197701
3.9696 0.205821
3.8696 0.21425
3.7696 0.223004
3.6696 0.232102
3.5696 0.24156
3.4696 0.251401
3.3696 0.261645
3.2696 0.272317
3.1696 0.283443
3.0696 0.295051
2.9696 0.307173
2.8696 0.319843
2.7696 0.333101
2.6696 0.346987
2.5696 0.36155
2.4696 0.376842
2.3696 0.392921
2.2696 0.409855
2.1696 0.427719
2.0696 0.446598
1.9696 0.46659
1.8696 0.487809
1.7696 0.510386
1.6696 0.534474
1.5696 0.560255
1.4696 0.587943
1.3696 0.6178
1.2696 0.65014
1.1696 0.685355
1.0696 0.723938
0.969604 0.766518
0.869604 0.813919
0.769604 0.867249
0.669604 0.928051
0.569604 0.998555
0.469604 1.08217
0.369604 1.18447
0.269604 1.31559
0.169604 1.49688
