9.8696 0
9.7696 -0.00925857
9.6696 -0.0185695
9.5696 -0.027934
9.4696 -0.037353
9.3696 -0.0468278
9.2696 -0.0563595
9.1696 -0.0659495
9.0696 -0.0755989
8.9696 -0.0853091
8.8696 -0.0950815
8.7696 -0.104917
8.6696 -0.114818
8.5696 -0.124786
8.4696 -0.134821
8.3696 -0.144927
8.2696 -0.155103
8.1696 -0.165353
8.0696 -0.175678
7.9696 -0.186079
7.8696 -0.196559
7.7696 -0.20712
7.6696 -0.217764
7.5696 -0.228493
7.4696 -0.239309
7.3696 -0.250215
7.2696 -0.261212
7.1696 -0.272305
7.0696 -0.283494
6.9696 -0.294784
6.8696 -0.306177
6.7696 -0.317675
6.6696 -0.329283
6.5696 -0.341003
6.4696 -0.352839
6.3696 -0.364795
6.2696 -0.376873
6.1696 -0.389079
6.0696 -0.401417
5.9696 -0.41389
5.8696 -0.426503
5.7696 -0.439261
5.6696 -0.45217
5.5696 -0.465235
5.4696 -0.47846
5.3696 -0.491853
5.2696 -0.505419
5.1696 -0.519165
5.0696 -0.533098
4.9696 -0.547226
4.8696 -0.561557
4.7696 -0.576098
4.6696 -0.590859
4.5696 -0.60585
4.4696 -0.62108
4.3696 -0.63656
4.2696 -0.652303
4.1696 -0.668319
4.0696 -0.684624
3.9696 -0.70123
3.8696 -0.718154
3.7696 -0.735412
3.6696 -0.753021
3.5696 -0.771002
3.4696 -0.789376
3.3696 -0.808166
3.2696 -0.827395
3.1696 -0.847093
3.0696 -0.867289
2.9696 -0.888016
2.8696 -0.909309
2.7696 -0.931211
2.6696 -0.953765
2.5696 -0.977021
2.4696 -1.00103
2.3696 -1.02587
2.2696 -1.05159
2.1696 -1.07829
2.0696 -1.10605
1.9696 -1.13498
1.8696 -1.1652
1.7696 -1.19685
1.6696 -1.2301
1.5696 -1.26515
1.4696 -1.30223
1.3696 -1.34164
1.2696 -1.38371
1.1696 -1.4289
1.0696 -1.47775
0.969604 -1.531
0.869604 -1.58959
0.769604 -1.65484
0.669604 -1.7286
0.569604 -1.81364
0.469604 -1.91433
0.369604 -2.03822
0.269604 -2.20013
0.169604 -2.43604
